"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"1","Alex Ovechkin","LW","Washington Capitals",78,51,28,79,9538460,5.35,2.94,8.28,"A","2013/2014"
"2","Sidney Crosby","C","Pittsburgh Penguins",80,36,68,104,8700000,4.14,7.82,11.95,"A","2013/2014"
"3","Evgeni Malkin","C","Pittsburgh Penguins",60,23,49,72,8700000,2.64,5.63,8.28,"A","2013/2014"
"4","Corey Perry","RW","Anaheim Ducks",81,43,39,82,8625000,4.99,4.52,9.51,"A","2013/2014"
"5","Ryan Getzlaf","C","Anaheim Ducks",77,31,56,87,8250000,3.76,6.79,10.55,"A","2013/2014"
"6","Eric Staal","C","Minnesota Wild",79,21,40,61,8250000,2.55,4.85,7.39,"A","2013/2014"
"7","Rick Nash","LW","Boston Bruins",65,26,13,39,7800000,3.33,1.67,5,"A","2013/2014"
"8","Zach Parise","LW","Minnesota Wild",67,29,27,56,7538460,3.85,3.58,7.43,"A","2013/2014"
"9","Steven Stamkos","C","Tampa Bay Lightning",37,25,15,40,7500000,3.33,2,5.33,"A","2013/2014"
"10","Dany Heatley","LW","Florida Panthers",76,12,16,28,7500000,1.6,2.13,3.73,"A","2013/2014"
"11","Joe Thornton","C","San Jose Sharks",82,11,65,76,7e+06,1.57,9.29,10.86,"A","2013/2014"
"12","Jason Spezza","C","Dallas Stars",75,23,43,66,7e+06,3.29,6.14,9.43,"A","2013/2014"
"13","Alexander Semin","RW","Montreal Canadiens",65,22,20,42,7e+06,3.14,2.86,6,"A","2013/2014"
"14","Patrick Marleau","LW","Toronto Maple Leafs",82,33,37,70,6900000,4.78,5.36,10.14,"A","2013/2014"
"15","Anze Kopitar","C","Los Angeles Kings",82,29,41,70,6800000,4.26,6.03,10.29,"A","2013/2014"
"16","Mikko Koivu","C","Minnesota Wild",65,11,43,54,6750000,1.63,6.37,8,"A","2013/2014"
"17","Nicklas Backstrom","C","Washington Capitals",82,18,61,79,6700000,2.69,9.1,11.79,"A","2013/2014"
"18","Pavel Datsyuk","C","Arizona Coyotes",45,17,20,37,6700000,2.54,2.99,5.52,"A","2013/2014"
"19","Brad Richards","C","Free Agent",82,20,31,51,6666670,3,4.65,7.65,"A","2013/2014"
"20","Paul Stastny","C","Winnipeg Jets",71,25,35,60,6600000,3.79,5.3,9.09,"A","2013/2014"
"21","Patrick Kane","RW","Chicago Blackhawks",69,29,40,69,6300000,4.6,6.35,10.95,"A","2013/2014"
"22","Jonathan Toews","C","Chicago Blackhawks",76,28,40,68,6300000,4.44,6.35,10.79,"A","2013/2014"
"23","Henrik Sedin","C","Vancouver Canucks",70,11,39,50,6100000,1.8,6.39,8.2,"A","2013/2014"
"24","Daniel Sedin","LW","Vancouver Canucks",73,16,31,47,6100000,2.62,5.08,7.7,"A","2013/2014"
"25","Henrik Zetterberg","C","Detroit Red Wings",45,16,32,48,6083330,2.63,5.26,7.89,"A","2013/2014"
"26","Taylor Hall","LW","New Jersey Devils",75,27,53,80,6e+06,4.5,8.83,13.33,"A","2013/2014"
"27","Jordan Eberle","RW","New York Islanders",80,28,37,65,6e+06,4.67,6.17,10.83,"A","2013/2014"
"28","Jarome Iginla","RW","Free Agent",78,30,31,61,6e+06,5,5.17,10.17,"A","2013/2014"
"29","Milan Lucic","LW","Edmonton Oilers",80,24,35,59,6e+06,4,5.83,9.83,"A","2013/2014"
"30","Michael Cammalleri","C","Edmonton Oilers",63,26,19,45,6e+06,4.33,3.17,7.5,"A","2013/2014"
"31","Jordan Staal","C","Carolina Hurricanes",82,15,25,40,6e+06,2.5,4.17,6.67,"A","2013/2014"
"32","Patrick Sharp","LW","Chicago Blackhawks",82,34,44,78,5900000,5.76,7.46,13.22,"A","2013/2014"
"33","Tyler Seguin","C","Dallas Stars",80,37,47,84,5750000,6.43,8.17,14.61,"A","2013/2014"
"34","Thomas Vanek","LW","Columbus Blue Jackets",78,27,41,68,5750000,4.7,7.13,11.83,"A","2013/2014"
"35","Travis Zajac","C","New Jersey Devils",80,18,30,48,5750000,3.13,5.22,8.35,"A","2013/2014"
"36","Mike Richards","C","Free Agent",82,11,30,41,5750000,1.91,5.22,7.13,"A","2013/2014"
"37","Jeff Skinner","LW","Carolina Hurricanes",71,33,21,54,5725000,5.76,3.67,9.43,"A","2013/2014"
"38","Martin St. Louis","RW","Free Agent",81,30,39,69,5625000,5.33,6.93,12.27,"A","2013/2014"
"39","Blake Wheeler","RW","Winnipeg Jets",82,28,41,69,5600000,5,7.32,12.32,"A","2013/2014"
"40","John Tavares","C","New York Islanders",59,24,42,66,5500000,4.36,7.64,12,"A","2013/2014"
"41","Patrik Elias","C","Free Agent",65,18,35,53,5500000,3.27,6.36,9.64,"A","2013/2014"
"42","Daniel Alfredsson","RW","Inactive",68,18,31,49,5500000,3.27,5.64,8.91,"A","2013/2014"
"43","Mike Ribeiro","C","Nashville Predators",80,16,31,47,5500000,2.91,5.64,8.55,"A","2013/2014"
"44","Shawn Horcoff","C","Free Agent",77,7,13,20,5500000,1.27,2.36,3.64,"B","2013/2014"
"45","Phil Kessel","RW","Pittsburgh Penguins",82,37,43,80,5400000,6.85,7.96,14.81,"A","2013/2014"
"46","Shane Doan","RW","Free Agent",69,23,24,47,5300000,4.34,4.53,8.87,"A","2013/2014"
"47","Nathan Horton","RW","Toronto Maple Leafs",36,5,14,19,5300000,0.94,2.64,3.58,"B","2013/2014"
"48","Jeff Carter","C","Los Angeles Kings",72,27,23,50,5272730,5.12,4.36,9.48,"A","2013/2014"
"49","Jamie Benn","LW","Dallas Stars",81,34,45,79,5250000,6.48,8.57,15.05,"A","2013/2014"
"50","David Krejci","C","Boston Bruins",80,19,50,69,5250000,3.62,9.52,13.14,"A","2013/2014"
"51","Joffrey Lupul","RW","Toronto Maple Leafs",69,22,22,44,5250000,4.19,4.19,8.38,"A","2013/2014"
"52","Evander Kane","LW","San Jose Sharks",63,19,22,41,5250000,3.62,4.19,7.81,"A","2013/2014"
"53","David Clarkson","RW","Vegas Golden Knights",60,5,6,11,5250000,0.95,1.14,2.1,"B","2013/2014"
"54","Marian Hossa","RW","Chicago Blackhawks",72,30,30,60,5233330,5.73,5.73,11.46,"A","2013/2014"
"55","Bobby Ryan","RW","Ottawa Senators",70,23,25,48,5100000,4.51,4.9,9.41,"A","2013/2014"
"56","Ryan O'Reilly","C","Buffalo Sabres",80,28,36,64,5e+06,5.6,7.2,12.8,"A","2013/2014"
"57","Patrice Bergeron","C","Boston Bruins",80,30,32,62,5e+06,6,6.4,12.4,"A","2013/2014"
"58","James Neal","LW","Vegas Golden Knights",59,27,34,61,5e+06,5.4,6.8,12.2,"A","2013/2014"
"59","Valtteri Filppula","C","Philadelphia Flyers",75,25,33,58,5e+06,5,6.6,11.6,"A","2013/2014"
"60","Ryan Kesler","C","Anaheim Ducks",77,25,18,43,5e+06,5,3.6,8.6,"A","2013/2014"
"61","Tomas Plekanec","C","Toronto Maple Leafs",81,20,23,43,5e+06,4,4.6,8.6,"A","2013/2014"
"62","Brian Gionta","RW","Boston Bruins",81,18,22,40,5e+06,3.6,4.4,8,"B","2013/2014"
"63","Martin Havlat","RW","St Louis Blues",48,12,10,22,5e+06,2.4,2,4.4,"B","2013/2014"
"64","Stephen Weiss","C","Free Agent",26,2,2,4,4900000,0.41,0.41,0.82,"B","2013/2014"
"65","Ryane Clowe","LW","Free Agent",43,7,19,26,4850000,1.44,3.92,5.36,"B","2013/2014"
"66","Sam Gagner","RW","Vancouver Canucks",67,10,27,37,4800000,2.08,5.63,7.71,"B","2013/2014"
"67","Scott Hartnell","LW","Nashville Predators",78,20,32,52,4750000,4.21,6.74,10.95,"A","2013/2014"
"68","Bryan Little","C","Winnipeg Jets",82,23,41,64,4700000,4.89,8.72,13.62,"A","2013/2014"
"69","R.J. Umberger","LW","Philadelphia Flyers",74,18,16,34,4600000,3.91,3.48,7.39,"B","2013/2014"
"70","Jason Pominville","RW","Buffalo Sabres",82,30,30,60,4505000,6.66,6.66,13.32,"A","2013/2014"
"71","Max Pacioretty","LW","Montreal Canadiens",73,39,21,60,4500000,8.67,4.67,13.33,"A","2013/2014"
"72","David Backes","C","Boston Bruins",74,27,30,57,4500000,6,6.67,12.67,"A","2013/2014"
"73","Brad Marchand","LW","Boston Bruins",82,25,28,53,4500000,5.56,6.22,11.78,"A","2013/2014"
"74","David Legwand","C","Free Agent",83,14,37,51,4500000,3.11,8.22,11.33,"A","2013/2014"
"75","Olli Jokinen","C","Free Agent",82,18,25,43,4500000,4,5.56,9.56,"B","2013/2014"
"76","Teddy Purcell","RW","Free Agent",81,12,30,42,4500000,2.67,6.67,9.33,"B","2013/2014"
"77","Vincent Lecavalier","C","Free Agent",69,20,17,37,4500000,4.44,3.78,8.22,"B","2013/2014"
"78","Ray Whitney","LW","Inactive",69,9,23,32,4500000,2,5.11,7.11,"B","2013/2014"
"79","Martin Erat","RW","Free Agent",70,3,26,29,4500000,0.67,5.78,6.44,"B","2013/2014"
"80","Erik Cole","LW","Free Agent",75,16,13,29,4500000,3.56,2.89,6.44,"B","2013/2014"
"81","Tomas Fleischmann","LW","Chicago Blackhawks",80,8,20,28,4500000,1.78,4.44,6.22,"B","2013/2014"
"82","Ryan Malone","LW","New York Rangers",57,5,10,15,4500000,1.11,2.22,3.33,"B","2013/2014"
"83","Brooks Laich","C","Los Angeles Kings",51,8,7,15,4500000,1.78,1.56,3.33,"B","2013/2014"
"84","Alexandre Burrows","LW","Ottawa Senators",49,5,10,15,4500000,1.11,2.22,3.33,"B","2013/2014"
"85","Ville Leino","LW","Inactive",58,0,15,15,4500000,0,3.33,3.33,"B","2013/2014"
"86","Andrew Ladd","LW","New York Islanders",78,23,31,54,4400000,5.23,7.05,12.27,"A","2013/2014"
"87","Milan Michalek","LW","Toronto Maple Leafs",82,17,22,39,4333330,3.92,5.08,9,"B","2013/2014"
"88","Ryan Callahan","RW","Tampa Bay Lightning",65,17,19,36,4291670,3.96,4.43,8.39,"B","2013/2014"
"89","Jakub Voracek","RW","Philadelphia Flyers",82,23,39,62,4250000,5.41,9.18,14.59,"A","2013/2014"
"90","James van Riemsdyk","LW","Toronto Maple Leafs",80,30,31,61,4250000,7.06,7.29,14.35,"A","2013/2014"
"91","Patric Hornqvist","RW","Pittsburgh Penguins",76,22,31,53,4250000,5.18,7.29,12.47,"A","2013/2014"
"92","Cody Hodgson","C","Free Agent",72,20,24,44,4250000,4.71,5.65,10.35,"B","2013/2014"
"93","Loui Eriksson","LW","Vancouver Canucks",61,10,27,37,4250000,2.35,6.35,8.71,"B","2013/2014"
"94","David Booth","RW","Detroit Red Wings",66,9,10,19,4250000,2.12,2.35,4.47,"B","2013/2014"
"95","Brandon Dubinsky","LW","Columbus Blue Jackets",76,16,34,50,4200000,3.81,8.1,11.9,"A","2013/2014"
"96","Tyler Bozak","C","Toronto Maple Leafs",58,19,30,49,4200000,4.52,7.14,11.67,"A","2013/2014"
"97","Mike Fisher","C","Nashville Predators",75,20,29,49,4200000,4.76,6.9,11.67,"A","2013/2014"
"98","T.J. Oshie","RW","Washington Capitals",79,21,39,60,4175000,5.03,9.34,14.37,"A","2013/2014"
"99","Chris Stewart","RW","Calgary Flames",63,15,11,26,4150000,3.61,2.65,6.27,"B","2013/2014"
"100","Joe Pavelski","C","San Jose Sharks",82,41,38,79,4e+06,10.25,9.5,19.75,"A","2013/2014"
"101","Jaromir Jagr","RW","Calgary Flames",82,24,43,67,4e+06,6,10.75,16.75,"A","2013/2014"
"102","Jiri Hudler","LW","Free Agent",75,17,37,54,4e+06,4.25,9.25,13.5,"A","2013/2014"
"103","Adam Henrique","C","Anaheim Ducks",77,25,18,43,4e+06,6.25,4.5,10.75,"B","2013/2014"
"104","Derek Roy","C","Free Agent",75,9,28,37,4e+06,2.25,7,9.25,"B","2013/2014"
"105","Drew Stafford","RW","New Jersey Devils",70,16,18,34,4e+06,4,4.5,8.5,"B","2013/2014"
"106","P.A. Parenteau","RW","Detroit Red Wings",55,14,19,33,4e+06,3.5,4.75,8.25,"B","2013/2014"
"107","Danny Briere","C","Free Agent",69,13,12,25,4e+06,3.25,3,6.25,"B","2013/2014"
"108","David Jones","RW","Free Agent",48,9,8,17,4e+06,2.25,2,4.25,"B","2013/2014"
"109","Bryan Bickell","LW","Carolina Hurricanes",59,11,4,15,4e+06,2.75,1,3.75,"B","2013/2014"
"110","Wayne Simmonds","RW","Philadelphia Flyers",82,29,31,60,3975000,7.3,7.8,15.09,"A","2013/2014"
"111","Johan Franzen","LW","Detroit Red Wings",54,16,25,41,3954550,4.05,6.32,10.37,"B","2013/2014"
"112","David Perron","LW","Vegas Golden Knights",78,28,29,57,3812500,7.34,7.61,14.95,"A","2013/2014"
"113","Tuomo Ruutu","LW","Free Agent",76,8,16,24,3800000,2.11,4.21,6.32,"B","2013/2014"
"114","Nathan Mackinnon","C","Colorado Avalanche",82,24,39,63,3775000,6.36,10.33,16.69,"A","2013/2014"
"115","Ryan Nugent-Hopkins","C","Edmonton Oilers",80,19,37,56,3775000,5.03,9.8,14.83,"A","2013/2014"
"116","Nail Yakupov","RW","Colorado Avalanche",63,11,13,24,3775000,2.91,3.44,6.36,"B","2013/2014"
"117","Claude Giroux","LW","Philadelphia Flyers",82,28,58,86,3750000,7.47,15.47,22.93,"A","2013/2014"
"118","Antoine Vermette","C","Anaheim Ducks",82,24,21,45,3750000,6.4,5.6,12,"B","2013/2014"
"119","Marian Gaborik","RW","Ottawa Senators",41,11,19,30,3750000,2.93,5.07,8,"B","2013/2014"
"120","Pascal Dupuis","RW","Pittsburgh Penguins",39,7,13,20,3750000,1.87,3.47,5.33,"B","2013/2014"
"121","Corban Knight","C","Philadelphia Flyers",7,1,0,1,3750000,0.27,0,0.27,"B","2013/2014"
"122","Chris Kunitz","LW","Tampa Bay Lightning",78,35,33,68,3725000,9.4,8.86,18.26,"A","2013/2014"
"123","Troy Brouwer","RW","Calgary Flames",82,25,18,43,3666670,6.82,4.91,11.73,"B","2013/2014"
"124","Justin Williams","RW","Carolina Hurricanes",82,19,24,43,3650000,5.21,6.58,11.78,"B","2013/2014"
"125","Gabriel Landeskog","LW","Colorado Avalanche",81,26,39,65,3575000,7.27,10.91,18.18,"A","2013/2014"
"126","Aleksander Barkov","C","Florida Panthers",54,8,16,24,3575000,2.24,4.48,6.71,"B","2013/2014"
"127","Matt Duchene","C","Ottawa Senators",71,23,47,70,3500000,6.57,13.43,20,"A","2013/2014"
"128","Kyle Turris","C","Nashville Predators",82,26,32,58,3500000,7.43,9.14,16.57,"A","2013/2014"
"129","David Desharnais","C","New York Rangers",79,16,36,52,3500000,4.57,10.29,14.86,"B","2013/2014"
"130","Matt Cullen","C","Minnesota Wild",77,10,29,39,3500000,2.86,8.29,11.14,"B","2013/2014"
"131","Scottie Upshall","RW","St Louis Blues",76,15,22,37,3500000,4.29,6.29,10.57,"B","2013/2014"
"132","Michael Ryder","RW","Free Agent",82,18,16,34,3500000,5.14,4.57,9.71,"B","2013/2014"
"133","Matt Stajan","C","Calgary Flames",63,14,19,33,3500000,4,5.43,9.43,"B","2013/2014"
"134","Saku Koivu","C","Inactive",65,11,18,29,3500000,3.14,5.14,8.29,"B","2013/2014"
"135","Alex Tanguay","LW","Free Agent",16,4,7,11,3500000,1.14,2,3.14,"B","2013/2014"
"136","Dave Bolland","C","Arizona Coyotes",23,8,4,12,3375000,2.37,1.19,3.56,"B","2013/2014"
"137","Alex Steen","RW","St Louis Blues",68,33,29,62,3362500,9.81,8.62,18.44,"A","2013/2014"
"138","Rene Bourque","LW","Free Agent",63,9,7,16,3333330,2.7,2.1,4.8,"B","2013/2014"
"139","Josh Bailey","RW","New York Islanders",77,8,30,38,3300000,2.42,9.09,11.52,"B","2013/2014"
"140","Artem Anisimov","C","Chicago Blackhawks",81,22,17,39,3283330,6.7,5.18,11.88,"B","2013/2014"
"141","Clarke MacArthur","LW","Ottawa Senators",79,24,31,55,3250000,7.38,9.54,16.92,"B","2013/2014"
"142","Patrik Berglund","LW","St Louis Blues",78,14,18,32,3250000,4.31,5.54,9.85,"B","2013/2014"
"143","Rich Peverley","C","Inactive",62,7,23,30,3250000,2.15,7.08,9.23,"B","2013/2014"
"144","Jarret Stoll","C","Minnesota Wild",78,8,19,27,3250000,2.46,5.85,8.31,"B","2013/2014"
"145","Paul Gaustad","C","Free Agent",75,10,11,21,3250000,3.08,3.38,6.46,"B","2013/2014"
"146","Alex Galchenyuk","C","Arizona Coyotes",65,13,18,31,3225000,4.03,5.58,9.61,"B","2013/2014"
"147","Derick Brassard","C","Pittsburgh Penguins",81,18,27,45,3200000,5.63,8.44,14.06,"B","2013/2014"
"148","Jonathan Huberdeau","LW","Florida Panthers",69,9,19,28,3194170,2.82,5.95,8.77,"B","2013/2014"
"149","Dustin Brown","RW","Los Angeles Kings",79,15,12,27,3175000,4.72,3.78,8.5,"B","2013/2014"
"150","Matt Moulson","LW","Buffalo Sabres",75,23,28,51,3133330,7.34,8.94,16.28,"B","2013/2014"
"151","Brayden Schenn","C","St Louis Blues",82,20,21,41,3110000,6.43,6.75,13.18,"B","2013/2014"
"152","Martin Hanzal","C","Dallas Stars",65,15,25,40,3100000,4.84,8.06,12.9,"B","2013/2014"
"153","Dainius Zubrus","RW","San Jose Sharks",82,13,13,26,3100000,4.19,4.19,8.39,"B","2013/2014"
"154","Nick Foligno","C","Columbus Blue Jackets",70,18,21,39,3083330,5.84,6.81,12.65,"B","2013/2014"
"155","Derek Stepan","C","Arizona Coyotes",82,17,40,57,3075000,5.53,13.01,18.54,"B","2013/2014"
"156","Radim Vrbata","RW","Florida Panthers",80,20,31,51,3e+06,6.67,10.33,17,"B","2013/2014"
"157","Joel Ward","RW","San Jose Sharks",82,24,25,49,3e+06,8,8.33,16.33,"B","2013/2014"
"158","Mikhail Grabovski","C","Vegas Golden Knights",58,13,22,35,3e+06,4.33,7.33,11.67,"B","2013/2014"
"159","Devin Setoguchi","RW","Los Angeles Kings",75,11,16,27,3e+06,3.67,5.33,9,"B","2013/2014"
"160","Michael Grabner","RW","New Jersey Devils",64,12,14,26,3e+06,4,4.67,8.67,"B","2013/2014"
"161","Boyd Gordon","C","Philadelphia Flyers",74,8,13,21,3e+06,2.67,4.33,7,"B","2013/2014"
"162","Viktor Stalberg","LW","Ottawa Senators",70,8,10,18,3e+06,2.67,3.33,6,"B","2013/2014"
"163","Chris Kelly","C","Anaheim Ducks",57,9,9,18,3e+06,3,3,6,"B","2013/2014"
"164","Tomas Kopecky","RW","Free Agent",49,4,8,12,3e+06,1.33,2.67,4,"B","2013/2014"
"165","Mikael Samuelsson","RW","Inactive",26,1,2,3,3e+06,0.33,0.67,1,"D","2013/2014"
"166","Steve Ott","C","Montreal Canadiens",82,9,14,23,2950000,3.05,4.75,7.8,"B","2013/2014"
"167","Nazem Kadri","C","Toronto Maple Leafs",78,20,30,50,2900000,6.9,10.34,17.24,"B","2013/2014"
"168","Logan Couture","C","San Jose Sharks",65,23,31,54,2875000,8,10.78,18.78,"B","2013/2014"
"169","Kyle Brodziak","C","St Louis Blues",81,8,16,24,2833330,2.82,5.65,8.47,"B","2013/2014"
"170","Brock Nelson","C","New York Islanders",72,14,12,26,2825000,4.96,4.25,9.2,"B","2013/2014"
"171","Evgeny Kuznetsov","C","Washington Capitals",17,3,6,9,2825000,1.06,2.12,3.19,"B","2013/2014"
"172","Tyler Ennis","LW","Minnesota Wild",80,21,22,43,2812500,7.47,7.82,15.29,"B","2013/2014"
"173","Kyle Okposo","RW","Buffalo Sabres",71,27,42,69,2800000,9.64,15,24.64,"A","2013/2014"
"174","Nikolay Kulemin","LW","New York Islanders",70,9,11,20,2800000,3.21,3.93,7.14,"B","2013/2014"
"175","Nino Niederreiter","RW","Minnesota Wild",81,14,22,36,2795000,5.01,7.87,12.88,"B","2013/2014"
"176","Frans Nielsen","C","Detroit Red Wings",80,25,33,58,2750000,9.09,12,21.09,"C","2013/2014"
"177","Sean Bergenheim","LW","Free Agent",62,16,13,29,2750000,5.82,4.73,10.55,"B","2013/2014"
"178","Cal Clutterbuck","RW","New York Islanders",73,12,7,19,2750000,4.36,2.55,6.91,"B","2013/2014"
"179","Steve Downie","RW","Free Agent",62,4,20,24,2650000,1.51,7.55,9.06,"B","2013/2014"
"180","Mikkel Boedker","LW","Ottawa Senators",82,19,32,51,2550000,7.45,12.55,20,"C","2013/2014"
"181","Curtis Glencross","RW","Free Agent",38,12,12,24,2550000,4.71,4.71,9.41,"B","2013/2014"
"182","Ales Hemsky","RW","Montreal Canadiens",75,13,30,43,2500000,5.2,12,17.2,"C","2013/2014"
"183","Chris Higgins","LW","Calgary Flames",78,17,22,39,2500000,6.8,8.8,15.6,"C","2013/2014"
"184","Lee Stempniak","RW","Carolina Hurricanes",73,12,22,34,2500000,4.8,8.8,13.6,"C","2013/2014"
"185","Matt Cooke","LW","Free Agent",82,10,18,28,2500000,4,7.2,11.2,"B","2013/2014"
"186","Lauri Korpikoski","LW","Free Agent",64,9,16,25,2500000,3.6,6.4,10,"B","2013/2014"
"187","Damien Brunner","RW","New Jersey Devils",60,11,14,25,2500000,4.4,5.6,10,"B","2013/2014"
"188","Eric Nystrom","LW","Free Agent",79,15,6,21,2500000,6,2.4,8.4,"B","2013/2014"
"189","Brandon Prust","RW","Free Agent",52,6,7,13,2500000,2.4,2.8,5.2,"D","2013/2014"
"190","Andrew Cogliano","LW","Anaheim Ducks",82,21,21,42,2390000,8.79,8.79,17.57,"C","2013/2014"
"191","Tyler Kennedy","C","New Jersey Devils",67,4,13,17,2350000,1.7,5.53,7.23,"B","2013/2014"
"192","Michael Frolik","LW","Calgary Flames",81,15,27,42,2333330,6.43,11.57,18,"C","2013/2014"
"193","Carl Hagelin","LW","Pittsburgh Penguins",72,17,16,33,2250000,7.56,7.11,14.67,"C","2013/2014"
"194","Ryan Smyth","LW","Inactive",72,10,13,23,2250000,4.44,5.78,10.22,"C","2013/2014"
"195","Kris Versteeg","RW","Calgary Flames",81,12,24,36,2200000,5.45,10.91,16.36,"C","2013/2014"
"196","Valeri Nichushkin","RW","Dallas Stars",79,14,20,34,2125000,6.59,9.41,16,"C","2013/2014"
"197","Darren Helm","LW","Detroit Red Wings",42,12,8,20,2125000,5.65,3.76,9.41,"C","2013/2014"
"198","Jussi Jokinen","RW","Vancouver Canucks",81,21,36,57,2100000,10,17.14,27.14,"C","2013/2014"
"199","Mikael Granlund","RW","Minnesota Wild",63,8,33,41,2100000,3.81,15.71,19.52,"C","2013/2014"
"200","David Moss","RW","Free Agent",79,8,14,22,2100000,3.81,6.67,10.48,"C","2013/2014"
"201","Todd Bertuzzi","RW","Inactive",59,9,7,16,2075000,4.34,3.37,7.71,"D","2013/2014"
"202","Brandon Sutter","C","Vancouver Canucks",81,13,13,26,2066669,6.29,6.29,12.58,"C","2013/2014"
"203","Craig Smith","RW","Nashville Predators",79,24,28,52,2e+06,12,14,26,"C","2013/2014"
"204","Marcus Johansson","LW","New Jersey Devils",80,8,36,44,2e+06,4,18,22,"C","2013/2014"
"205","Dustin Penner","LW","Inactive",67,14,21,35,2e+06,7,10.5,17.5,"C","2013/2014"
"206","Colin Wilson","LW","Colorado Avalanche",81,11,22,33,2e+06,5.5,11,16.5,"C","2013/2014"
"207","Teemu Selanne","RW","Free Agent",64,9,18,27,2e+06,4.5,9,13.5,"C","2013/2014"
"208","Pierre-Marc Bouchard","RW","Free Agent",28,4,5,9,2e+06,2,2.5,4.5,"D","2013/2014"
"209","Raffi Torres","LW","Free Agent",5,3,2,5,2e+06,1.5,1,2.5,"D","2013/2014"
"210","Ryan Johansen","C","Nashville Predators",82,33,30,63,1945000,16.97,15.42,32.39,"C","2013/2014"
"211","Chris Neil","RW","Ottawa Senators",76,8,6,14,1900000,4.21,3.16,7.37,"D","2013/2014"
"212","Torrey Mitchell","RW","Los Angeles Kings",67,2,8,10,1900000,1.05,4.21,5.26,"D","2013/2014"
"213","Jordin Tootoo","RW","Chicago Blackhawks",11,0,1,1,1900000,0,0.53,0.53,"D","2013/2014"
"214","Zack Smith","C","Ottawa Senators",82,13,9,22,1887500,6.89,4.77,11.66,"C","2013/2014"
"215","Travis Moen","LW","Free Agent",65,2,10,12,1850000,1.08,5.41,6.49,"D","2013/2014"
"216","Matt Hendricks","C","Winnipeg Jets",77,5,2,7,1850000,2.7,1.08,3.78,"D","2013/2014"
"217","Johnny Gaudreau","LW","Calgary Flames",1,1,0,1,1850000,0.54,0,0.54,"D","2013/2014"
"218","Adam Burish","RW","San Jose Sharks",15,0,0,0,1850000,0,0,0,"D","2013/2014"
"219","Daniel Winnik","RW","Minnesota Wild",76,6,24,30,1800000,3.33,13.33,16.67,"C","2013/2014"
"220","Justin Abdelkader","LW","Detroit Red Wings",70,10,18,28,1800000,5.56,10,15.56,"C","2013/2014"
"221","Max Talbot","C","Boston Bruins",81,8,19,27,1800000,4.44,10.56,15,"C","2013/2014"
"222","Vernon Fiddler","C","Nashville Predators",76,6,17,23,1800000,3.33,9.44,12.78,"C","2013/2014"
"223","Sean Monahan","C","Calgary Flames",75,22,12,34,1775000,12.39,6.76,19.15,"C","2013/2014"
"224","Elias Lindholm","C","Carolina Hurricanes",58,9,12,21,1775000,5.07,6.76,11.83,"C","2013/2014"
"225","Mikhail Grigorenko","C","Free Agent",18,2,1,3,1775000,1.13,0.56,1.69,"D","2013/2014"
"226","Mike Halmo","LW","New York Islanders",20,1,0,1,1775000,0.56,0,0.56,"D","2013/2014"
"227","Vladimir Tarasenko","RW","St Louis Blues",64,21,22,43,1750000,12,12.57,24.57,"C","2013/2014"
"228","Jason Chimera","LW","Anaheim Ducks",82,15,27,42,1750000,8.57,15.43,24,"C","2013/2014"
"229","Jamie McGinn","LW","Florida Panthers",79,19,19,38,1750000,10.86,10.86,21.71,"C","2013/2014"
"230","Shawn Matthias","C","Winnipeg Jets",77,12,11,23,1750000,6.86,6.29,13.14,"C","2013/2014"
"231","Erik Haula","C","Vegas Golden Knights",46,6,9,15,1750000,3.43,5.14,8.57,"D","2013/2014"
"232","Anders Lee","LW","New York Islanders",22,9,5,14,1750000,5.14,2.86,8,"D","2013/2014"
"233","Danny Cleary","RW","Free Agent",52,4,4,8,1750000,2.29,2.29,4.57,"D","2013/2014"
"234","Mika Zibanejad","C","New York Rangers",69,16,17,33,1744170,9.17,9.75,18.92,"C","2013/2014"
"235","Ryan Strome","C","Edmonton Oilers",37,7,11,18,1713330,4.09,6.42,10.51,"D","2013/2014"
"236","Marcel Goc","C","Free Agent",74,11,14,25,1700000,6.47,8.24,14.71,"C","2013/2014"
"237","Brian Boyle","C","New Jersey Devils",82,6,12,18,1700000,3.53,7.06,10.59,"D","2013/2014"
"238","Derek Dorsett","RW","Vancouver Canucks",51,4,4,8,1633330,2.45,2.45,4.9,"D","2013/2014"
"239","Brett Connolly","RW","Washington Capitals",11,1,0,1,1633330,0.61,0,0.61,"D","2013/2014"
"240","Jiri Tlusty","LW","Free Agent",68,16,14,30,1600000,10,8.75,18.75,"C","2013/2014"
"241","Gregory Campbell","C","Columbus Blue Jackets",82,8,13,21,1600000,5,8.13,13.13,"C","2013/2014"
"242","Nate Thompson","C","Los Angeles Kings",81,9,7,16,1600000,5.63,4.38,10,"D","2013/2014"
"243","Jim Slater","C","Free Agent",27,1,1,2,1600000,0.63,0.63,1.25,"D","2013/2014"
"244","Mark Scheifele","C","Winnipeg Jets",63,13,21,34,1563330,8.32,13.43,21.75,"C","2013/2014"
"245","Taylor Pyatt","LW","Inactive",56,4,1,5,1550000,2.58,0.65,3.23,"D","2013/2014"
"246","Mikael Backlund","C","Calgary Flames",76,18,21,39,1500000,12,14,26,"C","2013/2014"
