"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"2791","Matt Calvert","LW","Columbus Blue Jackets",65,10,5,15,2200000,4.55,2.27,6.82,"D","2016/2017"
"2792","Lance Bouma","LW","Chicago Blackhawks",61,3,4,7,2200000,1.36,1.82,3.18,"D","2016/2017"
"2793","Shawn Matthias","C","Winnipeg Jets",45,8,4,12,2125000,3.76,1.88,5.65,"D","2016/2017"
"2794","Brad Richardson","C","Arizona Coyotes",16,5,4,9,2083330,2.4,1.92,4.32,"D","2016/2017"
"2795","Riley Sheahan","C","Pittsburgh Penguins",80,2,11,13,2075000,0.96,5.3,6.27,"D","2016/2017"
"2796","Jason Zucker","LW","Minnesota Wild",79,22,26,47,2e+06,11,13,23.5,"C","2016/2017"
"2797","Calle Jarnkrok","RW","Nashville Predators",81,15,16,31,2e+06,7.5,8,15.5,"C","2016/2017"
"2798","Antoine Roussel","LW","Dallas Stars",60,12,15,27,2e+06,6,7.5,13.5,"C","2016/2017"
"2799","Trevor Lewis","RW","Los Angeles Kings",82,12,12,24,2e+06,6,6,12,"C","2016/2017"
"2800","Brian Boyle","C","New Jersey Devils",75,13,12,22,2e+06,6.5,6,11,"C","2016/2017"
"2801","Tom Wilson","RW","Washington Capitals",82,7,12,19,2e+06,3.5,6,9.5,"C","2016/2017"
"2802","Eric Fehr","C","San Jose Sharks",53,6,5,11,2e+06,3,2.5,5.5,"D","2016/2017"
"2803","Jiri Hudler","LW","Free Agent",32,3,8,11,2e+06,1.5,4,5.5,"D","2016/2017"
"2804","Dwight King","LW","Free Agent",80,9,6,1,1950000,4.62,3.08,0.51,"D","2016/2017"
"2805","Vladislav Namestnikov","LW","New York Rangers",74,10,17,28,1937500,5.16,8.77,14.45,"C","2016/2017"
"2806","Nick Bonino","C","Nashville Predators",80,18,19,37,1900000,9.47,10,19.47,"C","2016/2017"
"2807","Zack Smith","C","Ottawa Senators",74,16,16,32,1887500,8.48,8.48,16.95,"C","2016/2017"
"2808","Sven Baertschi","LW","Vancouver Canucks",68,18,17,35,1850000,9.73,9.19,18.92,"C","2016/2017"
