"","pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG","Player Rank 1314","Player Rank 1415"
"1730","D","RACINE","JONATHAN","58 JONATHAN RACINE","JONATHAN RACINE",1730,1318,0,0,0,1,0,"D",NA
"1731","G","CURRY","JOHN","33 JOHN CURRY","JOHN CURRY",1731,1319,0,0,0,0,20,NA,NA
"1732","D","MCCABE","JAKE","29 JAKE MCCABE","JAKE MCCABE",1732,1320,0,0,0,9,0,"D","D"
"1733","R","BUTLER","BOBBY","26 BOBBY BUTLER","BOBBY BUTLER",1733,167,0,0,2,0,0,"D",NA
"1734","D","CAMPBELL","ANDREW","81 ANDREW CAMPBELL","ANDREW CAMPBELL",1734,1321,0,0,0,3,0,"D","D"
"1735","D","MAYFIELD","SCOTT","42 SCOTT MAYFIELD","SCOTT MAYFIELD",1735,1322,0,0,0,5,0,"D",NA
"1736","C","PAYERL","ADAM","45 ADAM PAYERL","ADAM PAYERL",1736,1323,2,0,0,0,0,"D",NA
"1737","G","MAKAROV","ANDREY","35 ANDREY MAKAROV","ANDREY MAKAROV",1737,1324,0,0,0,0,3,NA,NA
"1738","L","GALLANT","BRETT","59 BRETT GALLANT","BRETT GALLANT",1738,1325,0,4,0,0,0,"D",NA
"1739","D","FOLIN","CHRISTIAN","5 CHRISTIAN FOLIN","CHRISTIAN FOLIN",1739,1326,0,0,0,41,0,"D","D"
"1740","C","PAQUETTE","CEDRIC","54 CEDRIC PAQUETTE","CEDRIC PAQUETTE",1740,1327,6,0,0,0,0,"D","D"
"1741","R","JOHNSON","JUSTIN","49 JUSTIN JOHNSON","JUSTIN JOHNSON",1741,1328,0,0,2,0,0,"D",NA
"1742","C","AUCOIN","KEITH","15 KEITH AUCOIN","KEITH AUCOIN",1742,928,2,0,0,0,0,"D",NA
"1743","R","RATTIE","TY","18 TY RATTIE","TY RATTIE",1743,1329,0,0,13,0,0,"D","D"
"1744","G","KNAPP","CONNOR","49 CONNOR KNAPP","CONNOR KNAPP",1744,1330,0,0,0,0,2,NA,NA
"1745","D","GRANBERG","PETTER","26 PETTER GRANBERG","PETTER GRANBERG",1745,1331,0,0,0,1,0,"D","D"
"1746","L","ZALEWSKI","MICHAEL","40 MICHAEL ZALEWSKI","MICHAEL ZALEWSKI",1746,1332,0,2,0,0,0,NA,NA
"1747","C","KHOKHLACHEV","ALEXANDER","76 ALEXANDER KHOKHLACHEV","ALEXANDER KHOKHLACHEV",1747,1333,1,0,0,0,0,"D","D"
"1748","R","KUNYK","CODY","28 CODY KUNYK","CODY KUNYK",1748,1334,0,0,1,0,0,"D",NA
"1749","C","LEBLANC","PETER","64 PETER LEBLANC","PETER LEBLANC",1749,1335,1,0,0,0,0,"D",NA
"1750","D","SPROUL","RYAN","48 RYAN SPROUL","RYAN SPROUL",1750,1336,0,0,0,1,0,"D",NA
"1751","C","ARNOLD","BILL","46 BILL ARNOLD","BILL ARNOLD",1751,1337,1,0,0,0,0,"D",NA
"1752","L","GAUDREAU","JOHNNY","53 JOHNNY GAUDREAU","JOHNNY GAUDREAU",1752,1338,0,1,0,0,0,"D","C"
"1753","C","HISHON","JOEY","38 JOEY HISHON","JOEY HISHON",1753,1339,16,0,0,0,0,"D","D"
"1754","D","BEAULIEU","NATHAN","28 NATHAN BEAULIEU","NATHAN BEAULIEU",1754,1119,0,0,0,67,0,"D","D"
"1755","R","KOZUN","BRANDON","67 BRANDON KOZUN","BRANDON KOZUN",1755,1340,0,0,20,0,0,NA,"D"
"1756","C","MALHOTRA","MANNY","20 MANNY MALHOTRA","MANNY MALHOTRA",1756,104,58,0,0,0,0,"D","D"
"1757","R","PARENTEAU","PIERRE-ALEXANDRE","15 PIERRE-ALEXANDRE PARENTEAU","PIERRE-ALEXANDRE PARENTEAU",1757,1341,0,0,58,0,0,NA,NA
"1758","D","PERCY","STUART","50 STUART PERCY","STUART PERCY",1758,1342,0,0,0,9,0,NA,"D"
"1759","D","ROBIDAS","STEPHANE","12 STEPHANE ROBIDAS","STEPHANE ROBIDAS",1759,313,0,0,0,52,0,"B","B"
"1760","L","SEKAC","JIRI","26 JIRI SEKAC","JIRI SEKAC",1760,1343,0,50,0,0,0,NA,"C"
"1761","C","WINNIK","DANIEL","26 DANIEL WINNIK","DANIEL WINNIK",1761,514,79,0,0,0,0,"C","C"
"1762","L","BELLEMARE","PIERRE-EDOUARD","78 PIERRE-EDOUARD BELLEMARE","PIERRE-EDOUARD BELLEMARE",1762,1344,0,81,0,0,0,NA,NA
"1763","D","DEL ZOTTO","MICHAEL","15 MICHAEL DEL ZOTTO","MICHAEL DEL ZOTTO",1763,329,0,0,0,64,0,"B","C"
"1764","C","ROBINS","BOBBY","64 BOBBY ROBINS","BOBBY ROBINS",1764,1345,3,0,0,0,0,NA,"D"
"1765","C","UMBERGER","R.J.","18 R.J. UMBERGER","R.J. UMBERGER",1765,238,67,0,0,0,0,"B","B"
"1766","L","BOLLIG","BRANDON","25 BRANDON BOLLIG","BRANDON BOLLIG",1766,957,0,62,0,0,0,"D","D"
"1767","R","DORSETT","DEREK","51 DEREK DORSETT","DEREK DORSETT",1767,208,0,0,79,0,0,"D","C"
"1768","D","ENGELLAND","DERYK","29 DERYK ENGELLAND","DERYK ENGELLAND",1768,90,0,0,0,76,0,"D","B"
"1769","L","GAUDREAU","JOHNNY","13 JOHNNY GAUDREAU","JOHNNY GAUDREAU",1769,1338,0,80,0,0,0,"D","C"
"1770","D","SMID","LADISLAV","15 LADISLAV SMID","LADISLAV SMID",1770,617,0,0,0,31,0,"B","B"
"1771","R","VEY","LINDEN","7 LINDEN VEY","LINDEN VEY",1771,1225,0,0,75,0,0,"D","C"
"1772","L","MCGINN","TYE","25 TYE MCGINN","TYE MCGINN",1772,1044,0,33,0,0,0,"D","D"
"1773","D","MCNABB","BRAYDEN","3 BRAYDEN MCNABB","BRAYDEN MCNABB",1773,800,0,0,0,71,0,"D","C"
"1774","D","MUELLER","MIRCO","41 MIRCO MUELLER","MIRCO MUELLER",1774,1346,0,0,0,39,0,NA,"D"
"1775","C","TIERNEY","CHRIS","50 CHRIS TIERNEY","CHRIS TIERNEY",1775,1347,43,0,0,0,0,NA,"D"
"1776","C","DANO","MARKO","56 MARKO DANO","MARKO DANO",1776,1348,35,0,0,0,0,NA,"D"
"1777","R","GIONTA","BRIAN","12 BRIAN GIONTA","BRIAN GIONTA",1777,57,0,0,69,0,0,"B","B"
"1778","D","GORGES","JOSH","4 JOSH GORGES","JOSH GORGES",1778,59,0,0,0,46,0,"B","B"
"1779","L","HARTNELL","SCOTT","43 SCOTT HARTNELL","SCOTT HARTNELL",1779,17,0,77,0,0,0,"A","A"
"1780","G","MCELHINNEY","CURTIS","30 CURTIS MCELHINNEY","CURTIS MCELHINNEY",1780,870,0,0,0,0,80,NA,NA
"1781","C","REINHART","SAM","23 SAM REINHART","SAM REINHART",1781,1349,9,0,0,0,0,NA,"B"
"1782","R","SKILLE","JACK","10 JACK SKILLE","JACK SKILLE",1782,438,0,0,45,0,0,"D","D"
"1783","C","WENNBERG","ALEXANDER","41 ALEXANDER WENNBERG","ALEXANDER WENNBERG",1783,1350,68,0,0,0,0,NA,"D"
"1784","L","CAMMALLERI","MIKE","23 MIKE CAMMALLERI","MIKE CAMMALLERI",1784,46,0,68,0,0,0,NA,NA
"1785","G","CLEMMENSEN","SCOTT","40 SCOTT CLEMMENSEN","SCOTT CLEMMENSEN",1785,754,0,0,0,0,25,NA,NA
"1786","D","MERRILL","JON","7 JON MERRILL","JON MERRILL",1786,1218,0,0,0,66,0,"D","D"
"1787","D","SEVERSON","DAMON","28 DAMON SEVERSON","DAMON SEVERSON",1787,1351,0,0,0,51,0,NA,"D"
"1788","R","TOOTOO","JORDIN","20 JORDIN TOOTOO","JORDIN TOOTOO",1788,236,0,0,68,0,0,"D","D"
