"","pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG","Player Rank 1314","Player Rank 1415"
"1","","","","","",1,1,0,0,0,0,0,NA,NA
"2","D","BARTKOWSKI","MATT","43 MATT BARTKOWSKI","MATT BARTKOWSKI",2,2,0,0,0,143,0,"C","D"
"3","C","BERGERON","PATRICE","37 PATRICE BERGERON","PATRICE BERGERON",3,3,413,0,0,0,0,"A","A"
"4","G","BOBROVSKY","SERGEI","35 SERGEI BOBROVSKY","SERGEI BOBROVSKY",4,4,0,0,0,0,186,NA,NA
"5","D","BOYCHUK","JOHNNY","55 JOHNNY BOYCHUK","JOHNNY BOYCHUK",5,5,0,0,0,393,0,"B","C"
"6","C","BRIERE","DANIEL","48 DANNY BRIERE","DANIEL BRIERE",6,6,196,0,0,0,0,NA,NA
"7","G","BRYZGALOV","ILYA","30 ILYA BRYZGALOV","ILYA BRYZGALOV",7,7,0,0,0,0,257,NA,NA
"8","C","CAMPBELL","GREGORY","11 GREGORY CAMPBELL","GREGORY CAMPBELL",8,8,397,0,0,0,0,"C","D"
"9","D","CARLE","MATT","25 MATT CARLE","MATT CARLE",9,9,0,0,0,186,0,"A","B"
"10","R","CARON","JORDAN","38 JORDAN CARON","JORDAN CARON",10,10,0,0,170,0,0,"D","D"
"11","D","CHARA","ZDENO","33 ZDENO CHARA","ZDENO CHARA",11,11,0,0,0,394,0,"A","B"
"12","D","COBURN","BRAYDON","5 BRAYDON COBURN","BRAYDON COBURN",12,12,0,0,0,345,0,"B","B"
"13","D","CORVO","JOE","14 JOE CORVO","JOE CORVO",13,13,0,0,0,160,0,"D",NA
"14","C","COUTURIER","SEAN","14 SEAN COUTURIER","SEAN COUTURIER",14,14,393,0,0,0,0,"C","C"
"15","D","FERENCE","ANDREW","21 ANDREW FERENCE","ANDREW FERENCE",15,15,0,0,0,361,0,"B","B"
"16","R","GIROUX","CLAUDE","28 CLAUDE GIROUX","CLAUDE GIROUX",16,16,0,0,392,0,0,"A","A"
"17","L","HARTNELL","SCOTT","19 SCOTT HARTNELL","SCOTT HARTNELL",17,17,0,303,0,0,0,"A","A"
"18","R","HORTON","NATHAN","18 NATHAN HORTON","NATHAN HORTON",18,18,0,0,157,0,0,"B",NA
"19","R","JAGR","JAROMIR","68 JAROMIR JAGR","JAROMIR JAGR",19,19,0,0,394,0,0,"A","A"
"20","C","KELLY","CHRIS","23 CHRIS KELLY","CHRIS KELLY",20,20,371,0,0,0,0,"B","B"
"21","C","KREJCI","DAVID","46 DAVID KREJCI","DAVID KREJCI",21,21,380,0,0,0,0,"A","B"
"22","D","LILJA","ANDREAS","6 ANDREAS LILJA","ANDREAS LILJA",22,22,0,0,0,116,0,NA,NA
"23","L","LUCIC","MILAN","17 MILAN LUCIC","MILAN LUCIC",23,23,0,417,0,0,0,"A","A"
"24","C","MARCHAND","BRAD","63 BRAD MARCHAND","BRAD MARCHAND",24,24,404,0,0,0,0,"A","B"
"25","D","MESZAROS","ANDREJ","41 ANDREJ MESZAROS","ANDREJ MESZAROS",25,25,0,0,0,253,0,"C","B"
"26","R","NODL","ANDREAS","15 ANDREAS NODL","ANDREAS NODL",26,26,0,0,24,0,0,NA,NA
"27","L","PAILLE","DANIEL","20 DANIEL PAILLE","DANIEL PAILLE",27,27,0,370,0,0,0,"D","D"
"28","C","PEVERLEY","RICH","49 RICH PEVERLEY","RICH PEVERLEY",28,28,196,0,0,0,0,"B",NA
"29","D","PRONGER","CHRIS","20 CHRIS PRONGER","CHRIS PRONGER",29,29,0,0,0,26,0,NA,NA
"30","G","RASK","TUUKKA","40 TUUKKA RASK","TUUKKA RASK",30,30,0,0,0,0,373,NA,NA
"31","R","READ","MATT","24 MATT READ","MATT READ",31,31,0,0,384,0,0,"C","B"
"32","C","RINALDO","ZAC","36 ZAC RINALDO","ZAC RINALDO",32,32,306,0,0,0,0,"D","D"
"33","C","SEGUIN","TYLER","19 TYLER SEGUIN","TYLER SEGUIN",33,33,246,0,0,0,0,"A","A"
"34","D","SEIDENBERG","DENNIS","44 DENNIS SEIDENBERG","DENNIS SEIDENBERG",34,34,0,0,0,354,0,"B","B"
"35","R","SIMMONDS","WAYNE","17 WAYNE SIMMONDS","WAYNE SIMMONDS",35,35,0,0,395,0,0,"A","B"
"36","C","TALBOT","MAXIME","27 MAXIME TALBOT","MAXIME TALBOT",36,36,184,0,0,0,0,NA,NA
"37","G","THOMAS","TIM","30 TIM THOMAS","TIM THOMAS",37,37,0,0,0,0,200,NA,NA
"38","L","THORNTON","SHAWN","22 SHAWN THORNTON","SHAWN THORNTON",38,38,0,361,0,0,0,"D","D"
"39","D","TIMONEN","KIMMO","44 KIMMO TIMONEN","KIMMO TIMONEN",39,39,0,0,0,319,0,"A","B"
"40","L","VAN RIEMSDYK","JAMES","21 JAMES VAN RIEMSDYK","JAMES VAN RIEMSDYK",40,40,0,317,0,0,0,"A","A"
"41","R","VORACEK","JAKUB","93 JAKUB VORACEK","JAKUB VORACEK",41,41,0,0,397,0,0,"A","A"
"42","R","ARMSTRONG","COLBY","9 COLBY ARMSTRONG","COLBY ARMSTRONG",42,42,0,0,58,0,0,NA,NA
"43","C","BOZAK","TYLER","42 TYLER BOZAK","TYLER BOZAK",43,43,337,0,0,0,0,"A","B"
"44","R","BROWN","MIKE","18 MIKE BROWN","MIKE BROWN",44,44,0,0,178,0,0,"D","D"
"45","G","BUDAJ","PETER","30 PETER BUDAJ","PETER BUDAJ",45,45,0,0,0,0,316,NA,NA
"46","L","CAMMALLERI","MIKE","13 MICHAEL CAMMALLERI","MIKE CAMMALLERI",46,46,0,76,0,0,0,NA,NA
"47","D","CAMPOLI","CHRIS","17 CHRIS CAMPOLI","CHRIS CAMPOLI",47,47,0,0,0,86,0,NA,NA
"48","L","COLE","ERIK","72 ERIK COLE","ERIK COLE",48,48,0,357,0,0,0,"B","B"
"49","L","DARCHE","MATHIEU","52 MATHIEU DARCHE","MATHIEU DARCHE",49,49,0,122,0,0,0,NA,NA
"50","C","DESHARNAIS","DAVID","51 DAVID DESHARNAIS","DAVID DESHARNAIS",50,50,399,0,0,0,0,"B","B"
"51","D","DIAZ","RAPHAEL","61 RAPHAEL DIAZ","RAPHAEL DIAZ",51,51,0,0,0,192,0,"C","D"
"52","C","DUPUIS","PHILIPPE","11 PHILIPPE DUPUIS","PHILIPPE DUPUIS",52,52,60,0,0,0,0,NA,NA
"53","C","ENGQVIST","ANDREAS","63 ANDREAS ENGQVIST","ANDREAS ENGQVIST",53,53,24,0,0,0,0,NA,NA
"54","R","FRATTIN","MATT","39 MATT FRATTIN","MATT FRATTIN",54,54,0,0,152,0,0,"D","D"
"55","D","GARDINER","JAKE","51 JAKE GARDINER","JAKE GARDINER",55,55,0,0,0,327,0,"C","B"
"56","D","GILL","HAL","75 HAL GILL","HAL GILL",56,56,0,0,0,201,0,"D",NA
"57","R","GIONTA","BRIAN","21 BRIAN GIONTA","BRIAN GIONTA",57,57,0,0,210,0,0,"B","B"
"58","C","GOMEZ","SCOTT","11 SCOTT GOMEZ","SCOTT GOMEZ",58,58,76,0,0,0,0,"D","C"
"59","D","GORGES","JOSH","26 JOSH GORGES","JOSH GORGES",59,59,0,0,0,300,0,"B","B"
"60","C","GRABOVSKI","MIKHAIL","84 MIKHAIL GRABOVSKI","MIKHAIL GRABOVSKI",60,60,312,0,0,0,0,"B","B"
"61","D","GUNNARSSON","CARL","36 CARL GUNNARSSON","CARL GUNNARSSON",61,61,0,0,0,276,0,"B","B"
"62","G","GUSTAVSSON","JONAS","50 JONAS GUSTAVSSON","JONAS GUSTAVSSON",62,62,0,0,0,0,297,NA,NA
"63","C","KESSEL","PHIL","81 PHIL KESSEL","PHIL KESSEL",63,63,383,0,0,0,0,"A","A"
"64","D","KOMISAREK","MIKE","8 MIKE KOMISAREK","MIKE KOMISAREK",64,64,0,0,0,94,0,"D",NA
"65","L","KOSTITSYN","ANDREI","46 ANDREI KOSTITSYN","ANDREI KOSTITSYN",65,65,0,160,0,0,0,NA,NA
"66","L","KULEMIN","NIKOLAI","41 NIKOLAI KULEMIN","NIKOLAI KULEMIN",66,66,0,265,0,0,0,NA,NA
"67","D","LILES","JOHN-MICHAEL","24 JOHN-MICHAEL LILES","JOHN-MICHAEL LILES",67,67,0,0,0,168,0,"B","B"
"68","C","LOMBARDI","MATTHEW","15 MATTHEW LOMBARDI","MATTHEW LOMBARDI",68,68,124,0,0,0,0,NA,NA
"69","R","LUPUL","JOFFREY","19 JOFFREY LUPUL","JOFFREY LUPUL",69,69,0,0,279,0,0,"A","B"
"70","L","MOEN","TRAVIS","32 TRAVIS MOEN","TRAVIS MOEN",70,70,0,225,0,0,0,"D","D"
"71","L","PACIORETTY","MAX","67 MAX PACIORETTY","MAX PACIORETTY",71,71,0,381,0,0,0,"A","A"
"72","D","PHANEUF","DION","3 DION PHANEUF","DION PHANEUF",72,72,0,0,0,369,0,"A",NA
"73","C","PLEKANEC","TOMAS","14 TOMAS PLEKANEC","TOMAS PLEKANEC",73,73,400,0,0,0,0,"A","A"
"74","G","PRICE","CAREY","31 CAREY PRICE","CAREY PRICE",74,74,0,0,0,0,380,NA,NA
"75","G","REIMER","JAMES","34 JAMES REIMER","JAMES REIMER",75,75,0,0,0,0,328,NA,NA
"76","L","ROSEHILL","JAY","38 JAY ROSEHILL","JAY ROSEHILL",76,76,0,62,0,0,0,"D",NA
"77","D","SCHENN","LUKE","2 LUKE SCHENN","LUKE SCHENN",77,77,0,0,0,158,0,"B","B"
"78","D","SPACEK","JAROSLAV","6 JAROSLAV SPACEK","JAROSLAV SPACEK",78,78,0,0,0,24,0,NA,NA
"79","C","STECKEL","DAVID","20 DAVID STECKEL","DAVID STECKEL",79,79,199,0,0,0,0,"D",NA
"80","D","SUBBAN","P.K.","76 P.K. SUBBAN","P.K. SUBBAN",80,80,0,0,0,396,0,"A","A"
"81","D","WEBER","YANNICK","68 YANNICK WEBER","YANNICK WEBER",81,81,0,0,0,126,0,"D","C"
"82","R","ADAMS","CRAIG","27 CRAIG ADAMS","CRAIG ADAMS",82,82,0,0,403,0,0,"D","D"
"83","R","ASHAM","ARRON","45 ARRON ASHAM","ARRON ASHAM",83,83,0,0,177,0,0,"D",NA
"84","D","BALLARD","KEITH","4 KEITH BALLARD","KEITH BALLARD",84,84,0,0,0,138,0,"D","D"
"85","D","BIEKSA","KEVIN","3 KEVIN BIEKSA","KEVIN BIEKSA",85,85,0,0,0,342,0,"B","B"
"86","L","BURROWS","ALEX","14 ALEXANDRE BURROWS","ALEX BURROWS",86,86,0,340,0,0,0,NA,NA
"87","L","COOKE","MATT","24 MATT COOKE","MATT COOKE",87,87,0,356,0,0,0,"B","D"
"88","L","DUPUIS","PASCAL","9 PASCAL DUPUIS","PASCAL DUPUIS",88,88,0,294,0,0,0,"B","B"
"89","D","EDLER","ALEXANDER","23 ALEXANDER EDLER","ALEXANDER EDLER",89,89,0,0,0,360,0,"B","A"
"90","D","ENGELLAND","DERYK","5 DERYK ENGELLAND","DERYK ENGELLAND",90,90,0,0,0,263,0,"D","B"
"91","G","FLEURY","MARC-ANDRE","29 MARC-ANDRE FLEURY","MARC-ANDRE FLEURY",91,91,0,0,0,0,414,NA,NA
"92","D","HAMHUIS","DAN","2 DAN HAMHUIS","DAN HAMHUIS",92,92,0,0,0,363,0,"B","B"
"93","R","HANSEN","JANNIK","36 JANNIK HANSEN","JANNIK HANSEN",93,93,0,0,377,0,0,"C","C"
"94","L","HIGGINS","CHRIS","20 CHRIS HIGGINS","CHRIS HIGGINS",94,94,0,352,0,0,0,"C","C"
"95","C","HODGSON","CODY","9 CODY HODGSON","CODY HODGSON",95,95,126,0,0,0,0,"B","B"
"96","G","JOHNSON","BRENT","1 BRENT JOHNSON","BRENT JOHNSON",96,96,0,0,0,0,142,NA,NA
"97","C","KENNEDY","TYLER","48 TYLER KENNEDY","TYLER KENNEDY",97,97,187,0,0,0,0,"B","D"
"98","L","KUNITZ","CHRIS","14 CHRIS KUNITZ","CHRIS KUNITZ",98,98,0,404,0,0,0,"A","B"
"99","C","LAPIERRE","MAXIM","40 MAXIM LAPIERRE","MAXIM LAPIERRE",99,99,383,0,0,0,0,"D","D"
"100","D","LETANG","KRIS","58 KRIS LETANG","KRIS LETANG",100,100,0,0,0,283,0,"B","A"
"101","C","LETESTU","MARK","10 MARK LETESTU","MARK LETESTU",101,101,56,0,0,0,0,"C","D"
"102","D","LOVEJOY","BEN","6 BEN LOVEJOY","BEN LOVEJOY",102,102,0,0,0,245,0,"C","D"
"103","G","LUONGO","ROBERTO","1 ROBERTO LUONGO","ROBERTO LUONGO",103,103,0,0,0,0,368,NA,NA
"104","C","MALHOTRA","MANNY","27 MANNY MALHOTRA","MANNY MALHOTRA",104,104,175,0,0,0,0,"D","D"
"105","C","MALKIN","EVGENI","71 EVGENI MALKIN","EVGENI MALKIN",105,105,350,0,0,0,0,"A","A"
"106","D","MARTIN","PAUL","7 PAUL MARTIN","PAUL MARTIN",106,106,0,0,0,327,0,"B","B"
"107","D","MICHALEK","ZBYNEK","4 ZBYNEK MICHALEK","ZBYNEK MICHALEK",107,107,0,0,0,282,0,"B","D"
"108","L","NEAL","JAMES","18 JAMES NEAL","JAMES NEAL",108,108,0,362,0,0,0,"A","B"
"109","D","NISKANEN","MATT","2 MATT NISKANEN","MATT NISKANEN",109,109,0,0,0,389,0,"C","A"
"110","D","SALO","SAMI","6 SAMI SALO","SAMI SALO",110,110,0,0,0,267,0,"B",NA
"111","R","SAMUELSSON","MIKAEL","26 MIKAEL SAMUELSSON","MIKAEL SAMUELSSON",111,111,0,0,122,0,0,"D",NA
"112","G","SCHNEIDER","CORY","35 CORY SCHNEIDER","CORY SCHNEIDER",112,112,0,0,0,0,382,NA,NA
"113","L","SEDIN","DANIEL","22 DANIEL SEDIN","DANIEL SEDIN",113,113,0,354,0,0,0,"A","A"
"114","C","SEDIN","HENRIK","33 HENRIK SEDIN","HENRIK SEDIN",114,114,378,0,0,0,0,"A","A"
"115","C","STAAL","JORDAN","11 JORDAN STAAL","JORDAN STAAL",115,115,312,0,0,0,0,"A","B"
"116","L","STURM","MARCO","15 MARCO STURM","MARCO STURM",116,116,0,12,0,0,0,NA,NA
"117","L","SULLIVAN","STEVE","26 STEVE SULLIVAN","STEVE SULLIVAN",117,117,0,203,0,0,0,NA,NA
"118","D","TANEV","CHRISTOPHER","8 CHRISTOPHER TANEV","CHRISTOPHER TANEV",118,118,0,0,0,232,0,NA,NA
"119","C","VITALE","JOE","46 JOE VITALE","JOE VITALE",119,119,249,0,0,0,0,"D","D"
"120","L","VOLPATTI","AARON","54 AARON VOLPATTI","AARON VOLPATTI",120,120,0,46,0,0,0,"D","D"
"121","R","WEISE","DALE","32 DALE WEISE","DALE WEISE",121,121,0,0,228,0,0,"D","C"
"122","D","ALLEN","BRYAN","5 BRYAN ALLEN","BRYAN ALLEN",122,122,0,0,0,170,0,"B","B"
"123","D","BERGERON","MARC-ANDRE","47 MARC-ANDRE BERGERON","MARC-ANDRE BERGERON",123,123,0,0,0,111,0,NA,NA
"124","G","BOUCHER","BRIAN","33 BRIAN BOUCHER","BRIAN BOUCHER",124,124,0,0,0,0,106,NA,NA
"125","C","BRENT","TIM","37 TIM BRENT","TIM BRENT",125,125,188,0,0,0,0,NA,NA
"126","D","BREWER","ERIC","2 ERIC BREWER","ERIC BREWER",126,126,0,0,0,337,0,"B","B"
"127","D","CLARK","BRETT","7 BRETT CLARK","BRETT CLARK",127,127,0,0,0,164,0,NA,NA
"128","R","CONNOLLY","BRETT","14 BRETT CONNOLLY","BRETT CONNOLLY",128,128,0,0,207,0,0,"D","D"
"129","C","DALPE","ZAC","22 ZAC DALPE","ZAC DALPE",129,129,42,0,0,0,0,"D","D"
"130","R","DOWNIE","STEVE","9 STEVE DOWNIE","STEVE DOWNIE",130,130,0,0,161,0,0,"B","C"
"131","R","DWYER","PATRICK","39 PATRICK DWYER","PATRICK DWYER",131,131,0,0,338,0,0,NA,NA
"132","D","FAULK","JUSTIN","28 JUSTIN FAULK","JUSTIN FAULK",132,132,0,0,0,132,0,"C","A"
"133","G","GARON","MATHIEU","32 MATHIEU GARON","MATHIEU GARON",133,133,0,0,0,0,174,NA,NA
"134","D","GILROY","MATT","97 MATT GILROY","MATT GILROY",134,134,0,0,0,171,0,"D",NA
"135","D","GLEASON","TIM","6 TIM GLEASON","TIM GLEASON",135,135,0,0,0,295,0,"B","D"
"136","R","HALL","ADAM","18 ADAM HALL","ADAM HALL",136,136,0,0,238,0,0,"D",NA
"137","D","HARRISON","JAY","44 JAY HARRISON","JAY HARRISON",137,137,0,0,0,279,0,"C","D"
"138","D","HEDMAN","VICTOR","77 VICTOR HEDMAN","VICTOR HEDMAN",138,138,0,0,0,304,0,"A","A"
"139","L","JOKINEN","JUSSI","36 JUSSI JOKINEN","JUSSI JOKINEN",139,139,0,384,0,0,0,"C","B"
"140","C","JONES","BLAIR","49 BLAIR JONES","BLAIR JONES",140,140,44,0,0,0,0,"D","D"
"141","D","KABERLE","TOMAS","51 TOMAS KABERLE","TOMAS KABERLE",141,141,0,0,0,58,0,NA,NA
"142","D","KUBINA","PAVEL","13 PAVEL KUBINA","PAVEL KUBINA",142,142,0,0,0,148,0,NA,NA
"143","R","LAROSE","CHAD","59 CHAD LAROSE","CHAD LAROSE",143,143,0,0,169,0,0,NA,NA
"144","C","LECAVALIER","VINCENT","4 VINCENT LECAVALIER","VINCENT LECAVALIER",144,144,167,0,0,0,0,"B","B"
"145","L","MALONE","RYAN","12 RYAN MALONE","RYAN MALONE",145,145,0,217,0,0,0,"B","D"
"146","C","MOORE","DOMINIC","19 DOMINIC MOORE","DOMINIC MOORE",146,146,112,0,0,0,0,"D","C"
"147","D","PITKANEN","JONI","25 JONI PITKANEN","JONI PITKANEN",147,147,0,0,0,82,0,NA,NA
"148","L","PONIKAROVSKY","ALEXEI","23 ALEXEI PONIKAROVSKY","ALEXEI PONIKAROVSKY",148,148,0,110,0,0,0,NA,NA
"149","R","PURCELL","TEDDY","16 TEDDY PURCELL","TEDDY PURCELL",149,149,0,0,377,0,0,"B","B"
"150","G","ROLOSON","DWAYNE","30 DWAYNE ROLOSON","DWAYNE ROLOSON",150,150,0,0,0,0,164,NA,NA
"151","R","RUUTU","TUOMO","15 TUOMO RUUTU","TUOMO RUUTU",151,151,0,0,314,0,0,"B","B"
"152","R","SHANNON","RYAN","22 RYAN SHANNON","RYAN SHANNON",152,152,0,0,90,0,0,NA,NA
"153","C","SKINNER","JEFF","53 JEFF SKINNER","JEFF SKINNER",153,153,318,0,0,0,0,"A","B"
"154","R","ST. LOUIS","MARTIN","26 MARTIN ST LOUIS","MARTIN ST. LOUIS",154,154,0,0,216,0,0,"A","A"
"155","C","STAAL","ERIC","12 ERIC STAAL","ERIC STAAL",155,155,368,0,0,0,0,"A","A"
"156","C","STAMKOS","STEVEN","91 STEVEN STAMKOS","STEVEN STAMKOS",156,156,335,0,0,0,0,"A","A"
"157","R","STEWART","ANTHONY","13 ANTHONY STEWART","ANTHONY STEWART",157,157,0,0,154,0,0,NA,NA
"158","C","SUTTER","BRANDON","16 BRANDON SUTTER","BRANDON SUTTER",158,158,401,0,0,0,0,"C","B"
"159","C","THOMPSON","NATE","44 NATE THOMPSON","NATE THOMPSON",159,159,346,0,0,0,0,"D","D"
"160","C","TLUSTY","JIRI","19 JIRI TLUSTY","JIRI TLUSTY",160,160,326,0,0,0,0,"C","B"
"161","G","WARD","CAM","30 CAM WARD","CAM WARD",161,161,0,0,0,0,318,NA,NA
"162","L","ABDELKADER","JUSTIN","8 JUSTIN ABDELKADER","JUSTIN ABDELKADER",162,162,0,378,0,0,0,"C","C"
"163","R","ALFREDSSON","DANIEL","11 DANIEL ALFREDSSON","DANIEL ALFREDSSON",163,163,0,0,286,0,0,"A",NA
"164","G","ANDERSON","CRAIG","41 CRAIG ANDERSON","CRAIG ANDERSON",164,164,0,0,0,0,335,NA,NA
"165","G","AULD","ALEX","35 ALEX AULD","ALEX AULD",165,165,0,0,0,0,152,NA,NA
"166","R","BERTUZZI","TODD","44 TODD BERTUZZI","TODD BERTUZZI",166,166,0,0,225,0,0,"D",NA
"167","R","BUTLER","BOBBY","16 BOBBY BUTLER","BOBBY BUTLER",167,167,0,0,118,0,0,"D",NA
"168","R","CLEARY","DANIEL","11 DANNY CLEARY","DANIEL CLEARY",168,168,0,0,160,0,0,NA,NA
"169","R","CONDRA","ERIK","22 ERIK CONDRA","ERIK CONDRA",169,169,0,0,384,0,0,"D","C"
"170","G","CONKLIN","TY","29 TY CONKLIN","TY CONKLIN",170,170,0,0,0,0,148,NA,NA
"171","D","COWEN","JARED","2 JARED COWEN","JARED COWEN",171,171,0,0,0,317,0,"B","B"
"172","C","DA COSTA","STEPHANE","24 STEPHANE DA COSTA","STEPHANE DA COSTA",172,172,65,0,0,0,0,"D",NA
"173","C","DATSYUK","PAVEL","13 PAVEL DATSYUK","PAVEL DATSYUK",173,173,324,0,0,0,0,"A","A"
"174","C","EMMERTON","CORY","48 CORY EMMERTON","CORY EMMERTON",174,174,152,0,0,0,0,"D",NA
"175","D","ERICSSON","JONATHAN","52 JONATHAN ERICSSON","JONATHAN ERICSSON",175,175,0,0,0,337,0,"B","B"
"176","L","FILATOV","NIKITA","21 NIKITA FILATOV","NIKITA FILATOV",176,176,0,18,0,0,0,NA,NA
"177","C","FILPPULA","VALTTERI","51 VALTTERI FILPPULA","VALTTERI FILPPULA",177,177,388,0,0,0,0,"A","A"
"178","L","FOLIGNO","NICK","71 NICK FOLIGNO","NICK FOLIGNO",178,178,0,376,0,0,0,"B","A"
"179","C","FRANZEN","JOHAN","93 JOHAN FRANZEN","JOHAN FRANZEN",179,179,311,0,0,0,0,"B","B"
"180","D","GONCHAR","SERGEI","55 SERGEI GONCHAR","SERGEI GONCHAR",180,180,0,0,0,347,0,"B","B"
"181","C","GREENING","COLIN","14 COLIN GREENING","COLIN GREENING",181,181,337,0,0,0,0,"D","D"
"182","C","HELM","DARREN","43 DARREN HELM","DARREN HELM",182,182,261,0,0,0,0,"C","C"
"183","L","HOLMSTROM","TOMAS","96 TOMAS HOLMSTROM","TOMAS HOLMSTROM",183,183,0,158,0,0,0,NA,NA
"184","G","HOWARD","JIMMY","35 JIMMY HOWARD","JIMMY HOWARD",184,184,0,0,0,0,348,NA,NA
"185","C","HUDLER","JIRI","26 JIRI HUDLER","JIRI HUDLER",185,185,172,0,0,0,0,"A","A"
"186","D","KARLSSON","ERIK","65 ERIK KARLSSON","ERIK KARLSSON",186,186,0,0,0,373,0,"A","A"
"187","D","KINDL","JAKUB","4 JAKUB KINDL","JAKUB KINDL",187,187,0,0,0,270,0,"C","B"
"188","D","KRONWALL","NIKLAS","55 NIKLAS KRONWALL","NIKLAS KRONWALL",188,188,0,0,0,400,0,"A","A"
"189","D","KUBA","FILIP","17 FILIP KUBA","FILIP KUBA",189,189,0,0,0,204,0,NA,NA
"190","D","LEE","BRIAN","5 BRIAN LEE","BRIAN LEE",190,190,0,0,0,70,0,NA,NA
"191","D","LIDSTROM","NICKLAS","5 NICKLAS LIDSTROM","NICKLAS LIDSTROM",191,191,0,0,0,150,0,NA,NA
"192","L","MICHALEK","MILAN","9 MILAN MICHALEK","MILAN MICHALEK",192,192,0,355,0,0,0,"B","B"
"193","L","MILLER","DREW","20 DREW MILLER","DREW MILLER",193,193,0,389,0,0,0,"D","D"
"194","R","NEIL","CHRIS","25 CHRIS NEIL","CHRIS NEIL",194,194,0,0,332,0,0,"D","D"
"195","D","PHILLIPS","CHRIS","4 CHRIS PHILLIPS","CHRIS PHILLIPS",195,195,0,0,0,338,0,"B","D"
"196","C","SMITH","ZACK","15 ZACK SMITH","ZACK SMITH",196,196,356,0,0,0,0,"C","D"
"197","C","SPEZZA","JASON","19 JASON SPEZZA","JASON SPEZZA",197,197,257,0,0,0,0,"A","A"
"198","D","STUART","BRAD","23 BRAD STUART","BRAD STUART",198,198,0,0,0,172,0,"B","B"
"199","D","WHITE","IAN","18 IAN WHITE","IAN WHITE",199,199,0,0,0,189,0,NA,NA
"200","L","ZETTERBERG","HENRIK","40 HENRIK ZETTERBERG","HENRIK ZETTERBERG",200,200,0,358,0,0,0,"A","A"
"201","C","ZIBANEJAD","MIKA","93 MIKA ZIBANEJAD","MIKA ZIBANEJAD",201,201,225,0,0,0,0,"C","C"
"202","R","ATKINSON","CAM","13 CAM ATKINSON","CAM ATKINSON",202,202,0,0,252,0,0,"C","C"
"203","D","BLUM","JONATHON","7 JONATHON BLUM","JONATHON BLUM",203,203,0,0,0,120,0,"D","D"
"204","C","BRASSARD","DERICK","16 DERICK BRASSARD","DERICK BRASSARD",204,204,391,0,0,0,0,"B","A"
"205","L","CALVERT","MATT","11 MATT CALVERT","MATT CALVERT",205,205,0,186,0,0,0,"C","C"
"206","C","CARTER","JEFF","7 JEFF CARTER","JEFF CARTER",206,206,78,0,0,0,0,"A","A"
"207","D","CLITSOME","GRANT","14 GRANT CLITSOME","GRANT CLITSOME",207,207,0,0,0,102,0,"D","D"
"208","R","DORSETT","DEREK","15 DEREK DORSETT","DEREK DORSETT",208,208,0,0,263,0,0,"D","C"
"209","R","ERAT","MARTIN","10 MARTIN ERAT","MARTIN ERAT",209,209,0,0,360,0,0,"B","B"
"210","C","GEOFFRION","BLAKE","5 BLAKE GEOFFRION","BLAKE GEOFFRION",210,210,44,0,0,0,0,NA,NA
"211","R","HALISCHUK","MATT","24 MATT HALISCHUK","MATT HALISCHUK",211,211,0,0,192,0,0,"D","D"
"212","D","HILLEN","JACK","38 JACK HILLEN","JACK HILLEN",212,212,0,0,0,195,0,"D","D"
"213","R","HORNQVIST","PATRIC","27 PATRIC HORNQVIST","PATRIC HORNQVIST",213,213,0,0,272,0,0,"A","A"
"214","C","JOHANSEN","RYAN","19 RYAN JOHANSEN","RYAN JOHANSEN",214,214,344,0,0,0,0,"C","A"
"215","D","KLEIN","KEVIN","8 KEVIN KLEIN","KEVIN KLEIN",215,215,0,0,0,366,0,"B","C"
"216","L","KOSTITSYN","SERGEI","74 SERGEI KOSTITSYN","SERGEI KOSTITSYN",216,216,0,216,0,0,0,NA,NA
"217","D","LAAKSO","TEEMU","2 TEEMU LAAKSO","TEEMU LAAKSO",217,217,0,0,0,18,0,NA,NA
"218","C","LEGWAND","DAVID","11 DAVID LEGWAND","DAVID LEGWAND",218,218,286,0,0,0,0,"A","B"
"219","G","LINDBACK","ANDERS","39 ANDERS LINDBACK","ANDERS LINDBACK",219,219,0,0,0,0,295,NA,NA
"220","C","MACKENZIE","DEREK","24 DEREK MACKENZIE","DEREK MACKENZIE",220,220,252,0,0,0,0,"D","D"
"221","D","MARTINEK","RADEK","2 RADEK MARTINEK","RADEK MARTINEK",221,221,0,0,0,14,0,"D",NA
"222","G","MASON","STEVE","1 STEVE MASON","STEVE MASON",222,222,0,0,0,0,184,NA,NA
"223","D","METHOT","MARC","3 MARC METHOT","MARC METHOT",223,223,0,0,0,275,0,"B","B"
"224","L","NASH","RICK","61 RICK NASH","RICK NASH",224,224,0,389,0,0,0,"A","A"
"225","C","O'REILLY","CAL","16 CAL O'REILLY","CAL O'REILLY",225,225,22,0,0,0,0,NA,NA
"226","C","PAHLSSON","SAMUEL","26 SAMUEL PAHLSSON","SAMUEL PAHLSSON",226,226,170,0,0,0,0,NA,NA
"227","L","PROSPAL","VACLAV","22 VINNY PROSPAL","VACLAV PROSPAL",227,227,0,212,0,0,0,NA,NA
"228","G","RINNE","PEKKA","35 PEKKA RINNE","PEKKA RINNE",228,228,0,0,0,0,335,NA,NA
"229","D","RUSSELL","KRIS","10 KRIS RUSSELL","KRIS RUSSELL",229,229,0,0,0,24,0,"C","C"
